Country Name,Series Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,Inflation GDP deflator (annual %),40.2829716315506,26.5799916024707,41.1193799882279,26.0063792819079,42.0336689575031,49.1955790596612,40.0830878011993,53.8404499043736,69.4712395512144,133.839867291437
Australia,Inflation GDP deflator (annual %),1.40489309838073,-0.622921248890535,-0.655771897383389,3.65123280881308,1.87881043499081,3.46372273602202,2.11382544142691,3.07877416395633,7.12307572259287,6.55737568511417
Brazil,Inflation GDP deflator (annual %),7.84670974352809,7.56617501207116,8.10360435870246,3.67138451275035,4.49353433137021,4.22425886899158,6.47249960755747,13.047270877833,8.5702819532232,4.65899475870381
China,Inflation GDP deflator (annual %),1.03106368780396,-0.00294409364951775,1.40734602732051,4.2326819752236,3.49974763567195,1.28670040766232,0.49249391805742,4.55232657897571,1.78570164213482,-0.535569713948448
France,Inflation GDP deflator (annual %),0.576944232991778,1.13824878533235,0.522559343400445,0.521577263305687,0.9922245663778,1.27859214632949,2.83987619551208,1.42394826984793,2.94721692911406,5.47233330398709
Germany,Inflation GDP deflator (annual %),1.87793985374911,1.85367882408802,1.32775222269545,1.50373898915133,2.00749244131613,2.13030905148273,1.87258564805592,3.01963807375267,5.26832542370153,6.62800806894128
India,Inflation GDP deflator (annual %),3.33175691703343,2.27958810848014,3.2379749508663,3.96925793349949,3.88424027193912,2.40551716110539,4.81485791890125,8.35490771485064,6.7475130832006,1.36646712940708
Indonesia,Inflation GDP deflator (annual %),5.44317454935612,3.98024266013961,2.43892408688207,4.29267812199525,3.81832356943335,1.59848849984144,-0.401651435218994,6.00397322136207,9.56668684525337,1.5330736733459
Italy,Inflation GDP deflator (annual %),0.913241261981469,0.931863574759717,1.13435002037254,0.726343220957816,1.06813204686947,0.938114135013862,1.57917145706057,1.25837145663145,3.60458016609203,5.27321445450562
Japan,Inflation GDP deflator (annual %),1.68629478626674,2.111298993275,0.419944376057273,-0.0743495037290671,-0.00023750638760589,0.63480316569607,0.941449700794308,-0.19006062486126,0.333979877221765,3.75261232319188
Korea, Rep.,Inflation GDP deflator (annual %),0.906896750615815,3.18559596664953,1.98603850545349,2.22278138152841,0.482948983102617,-0.839325308149668,1.56374685675343,2.76293194144772,1.27552257409207,2.06407396162432
Mexico,Inflation GDP deflator (annual %),4.36836891312464,3.22542892692515,6.07758782303863,6.56759492961866,5.20449997881845,4.25944006146996,4.81896368701643,4.53669254459224,6.442142222158,4.48808673043123
Netherlands,Inflation GDP deflator (annual %),0.253185732004795,0.772727976651382,0.454667288773308,1.26070715808579,2.43709074520527,3.03273379248688,1.92857201636885,2.92451387658699,5.53522393876365,7.75534281629842
Russian Federation,Inflation GDP deflator (annual %),7.49007111696609,7.24973590678889,2.84422269802643,5.34981508767618,9.99797671148308,3.26313281881684,0.898246027195242,19.4115890615904,16.7152740606271,7.07360156603734
Saudi Arabia,Inflation GDP deflator (annual %),-2.04340434872742,-16.4369469112862,-2.36045062575421,6.38731634132101,14.7336140424025,-2.02274033833496,-9.18456817699072,13.3007001530628,17.9839455619021,-2.96488667496891
Spain,Inflation GDP deflator (annual %),-0.223722667699661,0.545318262109149,0.32209801213854,1.29921183318382,1.24555241777706,1.44735843001939,1.13764340211205,2.65632420170878,4.14232319860571,5.92778493198469
Switzerland,Inflation GDP deflator (annual %),-0.653123803620176,-1.2650568747671,-0.583291591583972,-0.367869216813958,0.764289197175742,-0.103895158007788,-0.699187622738137,1.24619196669597,2.4971595038279,1.02331402592833
Turkiye,Inflation GDP deflator (annual %),7.38951863770303,7.84491693010263,8.13047807814451,10.9824216683285,16.5122794615027,13.8677352522894,14.7893757412251,28.9730164131403,96.0361149639913,67.4734154033494
United Kingdom,Inflation GDP deflator (annual %),1.31777821360919,0.660990521413524,1.96479827407785,1.85654104667935,1.92205239358366,2.11573274293868,5.08362342906076,-0.120427085491656,5.14631509041294,7.11947741650367
United States,Inflation GDP deflator (annual %),1.74161805258845,0.928042794757729,0.950322479212474,1.79080328454668,2.29089027511688,1.67850787434747,1.3206183953191,4.584745358897,7.04102594330236,3.64499524971842
Afghanistan,Inflation GDP deflator (annual %),0.56694454253261,2.44756300147404,-2.19752646733461,2.40365618765746,2.07134857783487,6.52147984832531,6.9629462552564,2.83899625081041,9.40623933931322,NA
Albania,Inflation GDP deflator (annual %),1.54991706986272,0.563991350160876,-0.632653419095547,1.45073158124514,1.47295348748196,1.25702482876329,0.696542442312051,3.45443198973012,9.86601343108215,4.55308281133995
Algeria,Inflation GDP deflator (annual %),1.45036466053507,-4.98674479503909,0.856688224295937,4.93800729455901,6.16467836467673,0.882992828155892,-4.71138391622451,15.9538980487654,22.8860752407762,-2.25825427168107
American Samoa,Inflation GDP deflator (annual %),-0.962160294226521,1.4697327650683,1.40582171236608,-1.94089005769675,1.69536107125778,1.74828930007058,6.72878072142282,4.8425556863277,14.1527648578811,NA
Andorra,Inflation GDP deflator (annual %),-0.0840193165570753,0.660588959137868,0.347795381575793,1.13650934319639,1.01247848005298,1.37475350829189,1.11378607410401,2.55955652556359,4.23599022878203,5.85990550303667
Angola,Inflation GDP deflator (annual %),3.56088477205805,-3.51838534598478,21.7743125582849,22.6144365241349,28.1670932554891,19.1870038271785,10.7631052824799,38.8237218374918,13.7098475207842,17.6477569319598
Antigua and Barbuda,Inflation GDP deflator (annual %),1.77839219993881,2.78817037438111,-0.468201309637678,0.312054499370376,1.46029012290431,0.718452311457611,0.800069551909715,4.91376057826946,6.49885619566375,4.80547577274675
